Nombre Jugador,Enlace TM,Temporada,Fecha,Último club,Nuevo club,Valor de mercado,Coste
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,14/15,01/07/2014,Deportivo B,Bergantiños FC,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,13/14,01/07/2013,Bergantiños FC,Deportivo B,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,13/14,01/07/2013,Bergantiños FC,Deportivo B,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,22/23,01/07/2022,Bergantiños FC,Casino Arzúa,25.000€,Libre
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,14/15,01/07/2014,Deportivo B,Bergantiños FC,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,22/23,01/07/2022,Bergantiños FC,Casino Arzúa,25.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,21/22,31/08/2021,Penya Deportiva,Coruxo FC,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,17/18,16/08/2017,Depor Juvenil A,Racing Ferrol,-,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,18/19,01/07/2018,Racing Ferrol,Silva SD,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,17/18,16/08/2017,Depor Juvenil A,Racing Ferrol,-,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,17/18,16/08/2017,Depor Juvenil A,Racing Ferrol,-,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,20/21,21/09/2020,Depor Fabril,Penya Deportiva,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,18/19,01/07/2018,Racing Ferrol,Silva SD,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,20/21,21/09/2020,Depor Fabril,Penya Deportiva,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,19/20,01/07/2019,Silva SD,Depor Fabril,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,01/07/2022,Coruxo FC,Sin equipo,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,07/09/2022,Sin equipo,Somozas,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,07/09/2022,Sin equipo,Somozas,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,01/07/2022,Coruxo FC,Sin equipo,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,19/20,01/07/2019,Silva SD,Depor Fabril,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,21/22,31/08/2021,Penya Deportiva,Coruxo FC,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,18/19,01/07/2018,Racing Ferrol,Silva SD,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,19/20,01/07/2019,Silva SD,Depor Fabril,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,20/21,21/09/2020,Depor Fabril,Penya Deportiva,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,21/22,31/08/2021,Penya Deportiva,Coruxo FC,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,01/07/2022,Coruxo FC,Sin equipo,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,07/09/2022,Sin equipo,Somozas,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/08/2019,Depor Fabril,Ourense CF,-,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/08/2019,Depor Fabril,Ourense CF,-,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,01/07/2021,Depor Fabril,RC Deportivo,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,26/01/2022,Arenteiro,RC Deportivo,100.000€,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,28/01/2022,RC Deportivo,Formentera,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,27/07/2020,Ourense CF,Depor Fabril,-,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,01/07/2021,Depor Fabril,RC Deportivo,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,27/07/2020,Ourense CF,Depor Fabril,-,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,22/23,01/07/2022,Formentera,Palencia Cristo,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,10/07/2021,RC Deportivo,Arenteiro,50.000€,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,26/01/2022,Arenteiro,RC Deportivo,100.000€,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,28/01/2022,RC Deportivo,Formentera,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,22/23,01/07/2022,Formentera,Palencia Cristo,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,27/07/2020,Ourense CF,Depor Fabril,-,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,22/23,01/07/2022,Formentera,Palencia Cristo,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,28/01/2022,RC Deportivo,Formentera,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/08/2019,Depor Fabril,Ourense CF,-,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/08/2019,Depor Fabril,Ourense CF,-,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,01/07/2021,Depor Fabril,RC Deportivo,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,10/07/2021,RC Deportivo,Arenteiro,50.000€,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,26/01/2022,Arenteiro,RC Deportivo,100.000€,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,27/07/2020,Ourense CF,Depor Fabril,-,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,01/07/2021,Depor Fabril,RC Deportivo,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/08/2019,Depor Fabril,Ourense CF,-,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,10/07/2021,RC Deportivo,Arenteiro,50.000€,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,27/07/2020,Ourense CF,Depor Fabril,-,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,01/07/2021,Depor Fabril,RC Deportivo,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,10/07/2021,RC Deportivo,Arenteiro,50.000€,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,26/01/2022,Arenteiro,RC Deportivo,100.000€,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,28/01/2022,RC Deportivo,Formentera,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,22/23,01/07/2022,Formentera,Palencia Cristo,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,26/01/2022,Arenteiro,RC Deportivo,100.000€,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,28/01/2022,RC Deportivo,Formentera,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,22/23,01/07/2022,Formentera,Palencia Cristo,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,28/01/2022,RC Deportivo,Formentera,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,26/01/2022,Arenteiro,RC Deportivo,100.000€,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,10/07/2021,RC Deportivo,Arenteiro,50.000€,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,01/07/2021,Depor Fabril,RC Deportivo,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,22/23,01/07/2022,Formentera,Palencia Cristo,100.000€,Libre
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,27/07/2020,Ourense CF,Depor Fabril,-,Fin de préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/08/2019,Depor Fabril,Ourense CF,-,Préstamo
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,21/22,10/07/2021,RC Deportivo,Arenteiro,50.000€,Préstamo
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,17/18,01/07/2017,Ciudad de Ibiza,At. Saguntino,-,Libre
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,20/21,30/01/2021,Sin equipo,IC d'Escaldes,300.000€,-
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,19/20,31/01/2020,ACSM Poli Iasi,Sin equipo,500.000€,-
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,18/19,01/07/2018,At. Saguntino,ACSM Poli Iasi,150.000€,Libre
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,16/17,19/08/2016,Storm FC,Ciudad de Ibiza,-,Libre
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,15/16,01/05/2016,FC Ascó,Storm FC,-,Libre
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,15/16,02/02/2016,Portugalete,FC Ascó,-,Libre
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,15/16,17/07/2015,Castellón,Portugalete,-,Libre
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,14/15,01/07/2014,CD Binéfar,Castellón,-,?
Adrià Gallego,https://www.transfermarkt.es/adria-gallego/transfers/spieler/176422,13/14,01/07/2013,Deportivo B,CD Binéfar,-,?
Adrián Casariego,https://www.transfermarkt.es/adrian-casariego/transfers/spieler/636430,17/18,01/07/2017,Lugo Fútb.base,Lugo Juvenil A,-,-
Adrián Casariego,https://www.transfermarkt.es/adrian-casariego/transfers/spieler/636430,16/17,01/07/2016,Depor Fút. base,Lugo Fútb.base,-,Libre
Adrián Casariego,https://www.transfermarkt.es/adrian-casariego/transfers/spieler/636430,19/20,01/07/2019,Lugo Juvenil A,Desconocido,-,?
Adrián Casariego,https://www.transfermarkt.es/adrian-casariego/transfers/spieler/636430,20/21,01/08/2020,Desconocido,Paiosaco HA,-,Libre
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/44966,15/16,09/07/2015,Montreal,Aarhus GF,250.000€,Libre
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,21/22,01/07/2021,CA Osasuna,Sin equipo,1.200.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,19/20,30/07/2019,Oporto,CA Osasuna,2.500.000€,Libre
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,17/18,30/06/2018,RC Deportivo,Oporto,4.000.000€,Fin de préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/44966,13/14,26/07/2013,Wigan,Montreal,500.000€,Libre
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,14/15,12/07/2014,Atlético Madrid,Oporto,8.000.000€,11.00 mill. €
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,21/22,31/03/2022,Sin equipo,Málaga CF,700.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,15/16,30/06/2016,Villarreal CF,Oporto,3.500.000€,Fin de préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,16/17,21/01/2017,Oporto,Villarreal CF,4.000.000€,Préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,16/17,30/06/2017,Villarreal CF,Oporto,3.500.000€,Fin de préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,17/18,11/08/2017,Oporto,RC Deportivo,3.500.000€,Préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,17/18,30/06/2018,RC Deportivo,Oporto,4.000.000€,Fin de préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,19/20,30/07/2019,Oporto,CA Osasuna,2.500.000€,Libre
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,21/22,01/07/2021,CA Osasuna,Sin equipo,1.200.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,15/16,31/08/2015,Oporto,Villarreal CF,5.000.000€,Tarifa de préstamo:1.00 mill. €
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,22/23,01/07/2022,Málaga CF,Sin equipo,400.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/44966,16/17,01/07/2016,Aarhus GF,Sin equipo,200.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/44966,17/18,03/08/2017,Sin equipo,FC Fredericia,200.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/44966,18/19,01/08/2018,FC Fredericia,SD Compostela,100.000€,Libre
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/44966,19/20,01/07/2019,SD Compostela,Sin equipo,-,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,21/22,31/03/2022,Sin equipo,Málaga CF,700.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,14/15,12/07/2014,Atlético Madrid,Oporto,8.000.000€,11.00 mill. €
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,22/23,01/07/2022,Málaga CF,Sin equipo,400.000€,-
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,17/18,11/08/2017,Oporto,RC Deportivo,3.500.000€,Préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,16/17,30/06/2017,Villarreal CF,Oporto,3.500.000€,Fin de préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,15/16,30/06/2016,Villarreal CF,Oporto,3.500.000€,Fin de préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,16/17,21/01/2017,Oporto,Villarreal CF,4.000.000€,Préstamo
Adrián López,https://www.transfermarkt.es/adrian-lopez/transfers/spieler/45383,15/16,31/08/2015,Oporto,Villarreal CF,5.000.000€,Tarifa de préstamo:1.00 mill. €
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,21/22,01/07/2021,CD As Pontes,Somozas,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,22/23,01/07/2022,Somozas,Sin equipo,-,-
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,15/16,01/07/2015,Deportivo B,CD As Pontes,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,16/17,01/07/2016,CD As Pontes,Somozas,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,16/17,01/01/2017,Somozas,CCD Cerceda,50.000€,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,17/18,01/07/2017,CCD Cerceda,CD As Pontes,50.000€,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,15/16,01/07/2015,Deportivo B,CD As Pontes,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,16/17,01/07/2016,CD As Pontes,Somozas,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,17/18,01/07/2017,CCD Cerceda,CD As Pontes,50.000€,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,20/21,01/07/2020,CD Boiro,CD As Pontes,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,21/22,01/07/2021,CD As Pontes,Somozas,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,22/23,01/07/2022,Somozas,Sin equipo,-,-
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,20/21,01/07/2020,CD Boiro,CD As Pontes,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,19/20,01/07/2019,CD As Pontes,CD Boiro,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,19/20,01/07/2019,CD As Pontes,CD Boiro,-,Libre
Adrián Martínez,https://www.transfermarkt.es/adrian-martinez/transfers/spieler/230225,16/17,01/01/2017,Somozas,CCD Cerceda,50.000€,Libre
Adrián Ogando,https://www.transfermarkt.es/adrian-ogando/transfers/spieler/1064149,22/23,01/07/2022,Depor Fút. base,Depor Juvenil A,-,-
Adrián Ogando,https://www.transfermarkt.es/adrian-ogando/transfers/spieler/1064149,20/21,01/07/2020,Ural Fútb.base,Depor Fút. base,-,?
Adrián Pereda,https://www.transfermarkt.es/adrian-pereda/transfers/spieler/945699,22/23,01/07/2022,Villarr. Juv. A,Villarreal CF C,-,-
Adrián Pereda,https://www.transfermarkt.es/adrian-pereda/transfers/spieler/945699,21/22,01/07/2021,Depor Juvenil A,Villarr. Juv. A,-,Libre
Adrián Pereda,https://www.transfermarkt.es/adrian-pereda/transfers/spieler/945699,20/21,01/07/2020,Depor Fút. base,Depor Juvenil A,-,-
Adrián Pereda,https://www.transfermarkt.es/adrian-pereda/transfers/spieler/945699,20/21,01/07/2020,Depor Fút. base,Depor Juvenil A,-,-
Adrián Pereda,https://www.transfermarkt.es/adrian-pereda/transfers/spieler/945699,21/22,01/07/2021,Depor Juvenil A,Villarr. Juv. A,-,Libre
Adrián Pereda,https://www.transfermarkt.es/adrian-pereda/transfers/spieler/945699,22/23,01/07/2022,Villarr. Juv. A,Villarreal CF C,-,-
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,18/19,11/07/2018,Toronto,Cádiz CF,2.500.000€,Préstamo
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,18/19,01/01/2019,Toronto,Cádiz CF,2.500.000€,Libre
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,19/20,13/07/2019,Cádiz CF,RC Deportivo,2.000.000€,Libre
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,20/21,07/09/2020,RC Deportivo,UD Almería,1.000.000€,Libre
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,21/22,27/07/2021,UD Almería,SD Eibar,800.000€,Libre
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,17/18,23/02/2018,Athletic,Toronto,2.000.000€,Libre
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,14/15,01/07/2014,Bilbao Athletic,Athletic,500.000€,-
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,18/19,31/12/2018,Cádiz CF,Toronto,2.500.000€,Fin de préstamo
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,16/17,30/01/2017,Athletic,Cádiz CF,800.000€,Préstamo
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,16/17,01/07/2016,Bilbao Athletic,Athletic,1.000.000€,-
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,15/16,04/01/2016,Athletic,Bilbao Athletic,1.000.000€,-
Ager Aketxe,https://www.transfermarkt.es/ager-aketxe/transfers/spieler/158057,16/17,30/06/2017,Cádiz CF,Athletic,1.000.000€,Fin de préstamo
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,22/23,30/06/2023,Hércules CF,Eldense,100.000€,Fin de préstamo
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,22/23,17/01/2023,Eldense,Hércules CF,100.000€,Préstamo
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,21/22,25/07/2021,Sabadell Juv. A,Eldense,-,Libre
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,20/21,01/07/2020,Depor Juvenil A,Sabadell Juv. A,-,Libre
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,19/20,01/07/2019,Depor Fút. base,Depor Juvenil A,-,-
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,22/23,30/06/2023,Hércules CF,Eldense,100.000€,Fin de préstamo
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,22/23,17/01/2023,Eldense,Hércules CF,100.000€,Préstamo
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,21/22,25/07/2021,Sabadell Juv. A,Eldense,-,Libre
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,20/21,01/07/2020,Depor Juvenil A,Sabadell Juv. A,-,Libre
Albert Ramis,https://www.transfermarkt.es/albert-ramis/transfers/spieler/719992,19/20,01/07/2019,Depor Fút. base,Depor Juvenil A,-,-
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,21/22,20/07/2021,Albacete,RC Deportivo,300.000€,Libre
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,17/18,01/07/2017,Reus Deportiu,Real Zaragoza,600.000€,Libre
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,19/20,01/07/2019,Real Zaragoza,Albacete,500.000€,Libre
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,21/22,06/01/2022,RC Deportivo,CyD Leonesa,200.000€,Libre
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,22/23,01/07/2022,CyD Leonesa,Sin equipo,150.000€,-
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,15/16,07/07/2015,Sporting B,Reus Deportiu,-,Libre
Alberto Benito,https://www.transfermarkt.es/alberto-benito/transfers/spieler/263748,13/14,23/07/2013,Pobla de Mafumet CF,Sporting B,-,Libre
Alberto Domínguez,https://www.transfermarkt.es/alberto-dominguez/transfers/spieler/51726,15/16,30/07/2015,Albacete,Ponferradina,200.000€,Libre
Alberto Domínguez,https://www.transfermarkt.es/alberto-dominguez/transfers/spieler/51726,16/17,06/09/2016,Ponferradina,Coruxo FC,200.000€,Libre
Alberto Domínguez,https://www.transfermarkt.es/alberto-dominguez/transfers/spieler/51726,13/14,01/07/2013,Getafe CF B,Albacete,-,Libre
Alberto Leira,https://www.transfermarkt.es/alberto-leira/transfers/spieler/522134,16/17,01/07/2016,Depor Juvenil A,RC Villalbés,-,?
